sequence_id,subject_id,activity_name,split,total_frames,fps,onset_frame,onset_image_name,stable_fallen_frame,stable_fallen_image_name,status,notes
S1_fall_backwards,1,Fall backwards,train,126,20.0,59,S1_fall_backwards_cas100059.png,87,S1_fall_backwards_cas100087.png,checked,
S1_fall_forward,1,Fall forward,train,191,20.0,132,S1_fall_forward_cfs1-00132.png,147,S1_fall_forward_cfs1-00147.png,checked,
S1_fall_left,1,Fall left,train,87,20.0,45,S1_fall_left_cis100045.png,60,S1_fall_left_cis100060.png,checked,
S1_fall_right,1,Fall right,train,115,20.0,57,S1_fall_right_cds100057.png,68,S1_fall_right_cds100068.png,checked,
S1_fall_sitting,1,Fall sitting,train,183,20.0,99,S1_fall_sitting_css100099.png,120,S1_fall_sitting_css100120.png,checked,
S3_fall_backwards,3,Fall backwards,train,167,20.0,68,S3_fall_backwards_cas300068.png,137,S3_fall_backwards_cas300137.png,checked,
S3_fall_forward,3,Fall forward,train,154,20.0,85,S3_fall_forward_cfs300085.png,107,S3_fall_forward_cfs300107.png,checked,
S3_fall_left,3,Fall left,train,172,20.0,103,S3_fall_left_cis300103.png,127,S3_fall_left_cis300127.png,checked,
S3_fall_right,3,Fall right,train,221,20.0,54,S3_fall_right_cds300054.png,68,S3_fall_right_cds300068.png,checked,
S3_fall_sitting,3,Fall sitting,train,203,20.0,52,S3_fall_sitting_css300052.png,88,S3_fall_sitting_css300088.png,checked,
S6_fall_backwards,6,Fall backwards,train,257,20.0,92,S6_fall_backwards_cas600092.png,121,S6_fall_backwards_cas600121.png,checked,
S6_fall_forward,6,Fall forward,train,203,20.0,84,S6_fall_forward_cfs600084.png,119,S6_fall_forward_cfs600119.png,checked,
S6_fall_left,6,Fall left,train,230,20.0,52,S6_fall_left_cis600052.png,107,S6_fall_left_cis600107.png,checked,
S6_fall_right,6,Fall right,train,230,20.0,82,S6_fall_right_cds600082.png,122,S6_fall_right_cds600122.png,checked,
S6_fall_sitting,6,Fall sitting,train,249,20.0,108,S6_fall_sitting_css600108.png,123,S6_fall_sitting_css600123.png,checked,
S7_fall_backwards,7,Fall backwards,train,253,20.0,93,S7_fall_backwards_cas700093.png,118,S7_fall_backwards_cas700118.png,checked,
S7_fall_forward,7,Fall forward,train,163,20.0,44,S7_fall_forward_cfs700044.png,69,S7_fall_forward_cfs700069.png,checked,
S7_fall_left,7,Fall left,train,213,20.0,74,S7_fall_left_cis700074.png,94,S7_fall_left_cis700094.png,checked,
S7_fall_right,7,Fall right,train,167,20.0,47,S7_fall_right_cds700047.png,67,S7_fall_right_cds700067.png,checked,
S7_fall_sitting,7,Fall sitting,train,208,20.0,48,S7_fall_sitting_css700048.png,78,S7_fall_sitting_css700078.png,checked,
S8_fall_backwards,8,Fall backwards,train,213,20.0,65,S8_fall_backwards_cas800065.png,90,S8_fall_backwards_cas800090.png,checked,
S8_fall_forward,8,Fall forward,train,123,20.0,41,S8_fall_forward_cfs800041.png,61,S8_fall_forward_cfs800061.png,checked,
S8_fall_left,8,Fall left,train,203,20.0,58,S8_fall_left_cis800058.png,83,S8_fall_left_cis800083.png,checked,
S8_fall_right,8,Fall right,train,230,20.0,60,S8_fall_right_cds800060.png,90,S8_fall_right_cds800090.png,checked,
S8_fall_sitting,8,Fall sitting,train,235,20.0,81,S8_fall_sitting_css800081.png,121,S8_fall_sitting_css800121.png,checked,
S9_fall_backwards,9,Fall backwards,train,253,20.0,66,S9_fall_backwards_cas900066.png,106,S9_fall_backwards_cas900106.png,checked,
S9_fall_left,9,Fall left,train,208,20.0,56,S9_fall_left_cis900056.png,96,S9_fall_left_cis900096.png,checked,
S9_fall_right,9,Fall right,train,190,20.0,58,S9_fall_right_cds900058.png,78,S9_fall_right_cds900078.png,checked,
S9_fall_sitting,9,Fall sitting,train,217,20.0,90,S9_fall_sitting_css900090.png,110,S9_fall_sitting_css900110.png,checked,
S4_fall_backwards,4,Fall backwards,val,193,20.0,71,S4_fall_backwards_cas400071.png,106,S4_fall_backwards_cas400106.png,checked,
S4_fall_forward,4,Fall forward,val,169,20.0,26,S4_fall_forward_cfs400026.png,46,S4_fall_forward_cfs400046.png,checked,
S4_fall_left,4,Fall left,val,163,20.0,62,S4_fall_left_cis400062.png,92,S4_fall_left_cis400092.png,checked,
S4_fall_right,4,Fall right,val,151,20.0,48,S4_fall_right_cds400048.png,68,S4_fall_right_cds400068.png,checked,
S4_fall_sitting,4,Fall sitting,val,199,20.0,62,S4_fall_sitting_css400062.png,92,S4_fall_sitting_css400092.png,checked,
S5_fall_backwards,5,Fall backwards,val,215,20.0,49,S5_fall_backwards_cas500049.png,79,S5_fall_backwards_cas500079.png,checked,
S5_fall_forward,5,Fall forward,val,201,20.0,59,S5_fall_forward_cfs500059.png,89,S5_fall_forward_cfs500089.png,checked,
S5_fall_left,5,Fall left,val,248,20.0,77,S5_fall_left_cis500077.png,112,S5_fall_left_cis500112.png,checked,
S5_fall_right,5,Fall right,val,220,20.0,76,S5_fall_right_cds5-00076.png,121,S5_fall_right_cds5-00121.png,checked,
S5_fall_sitting,5,Fall sitting,val,230,20.0,70,S5_fall_sitting_css500070.png,95,S5_fall_sitting_css500095.png,checked,
