sequence_id,onset_frame,impact_frame,stable_fallen_frame,review_status,notes
fall-01,83,114,130,checked,
fall-02,40,69,90,checked,
fall-03,148,177,197,checked,
fall-04,14,43,75,checked,
fall-05,79,109,137,checked,
fall-06,11,41,70,checked,
fall-07,85,115,145,checked,
fall-08,30,60,79,checked,
fall-09,121,150,178,checked,
fall-10,40,70,97,checked,
fall-11,49,79,112,checked,
fall-12,25,55,84,checked,
fall-13,44,73,79,checked,
fall-14,16,45,47,checked,
fall-15,28,58,61,checked,
fall-16,17,47,51,checked,
fall-17,59,88,89,checked,
fall-18,16,46,52,checked,
fall-19,25,55,64,checked,
fall-20,18,48,80,checked,
fall-21,21,51,53,checked,
fall-22,4,34,42,checked,
fall-23,27,57,61,checked,
fall-24,12,41,48,checked,
fall-25,45,75,75,checked,
fall-26,13,43,47,checked,
fall-27,51,81,82,checked,
fall-28,27,57,59,checked,
fall-29,49,81,85,checked,
fall-30,25,55,57,checked,
