sequence_id,subject,category,file_name,source_relative_path,actual_duration_seconds,official_duration_seconds,fall_onset_seconds,fall_end_seconds,fall_label,fall_type,fall_interval_source,time_of_recording,attire,description,classes
gmdcsa24_00f5e6f80632f9ba,Subject 1,Fall,06.mp4,Subject 1/Fall/06.mp4,5.697233,5.0,2.2,5.0,Falling (SW),SW,official_explicit_interval,Day (Light On),Full T-shirt & Trousers,Walking to falling. Right side fall,Falling (SW)[2.2 to 5]; Walking[0 to 2.1]
gmdcsa24_03417405897279a3,Subject 2,ADL,20.mp4,Subject 2/ADL/20.mp4,11.6654,11.0,,,,ADL,unparsed,Night,Full Shirt & Jeans,Standing up; picking up a water bottle; and drinking water while sitting on the ground,Drinking[7.4 to 9.4]; Sitting[3.7 to 11]; Standing[0 to 3.2]
gmdcsa24_0448a84525101056,Subject 3,Fall,12.mp4,Subject 3/Fall/12.mp4,4.257,4.0,1.6,4.0,Falling (BW),BW,official_explicit_interval,Day,Full T-shirt & Trouser,Falling backward from the bed,Falling (BW)[1.6 to 4]; Standing[0 to 0.8]
gmdcsa24_0448c122dbfdffc4,Subject 2,Fall,01.mp4,Subject 2/Fall/01.mp4,6.369,6.0,1.4,6.0,Falling (SW),SW,official_explicit_interval,Day,T-Shirt & Pants,Right side fall on the ground,Falling (SW)[1.4 to 6]; Standing[0.4 to 1.2]
gmdcsa24_051da841f946496a,Subject 3,ADL,11.mp4,Subject 3/ADL/11.mp4,12.0815,12.0,,,,ADL,unparsed,Day,Full shirt & Trousers,Closing the window curtain and the window,Standing[2.7 to 12]; Walking[0 to 2.7]
gmdcsa24_0591cd980d8f4c0e,Subject 2,ADL,15.mp4,Subject 2/ADL/15.mp4,11.9214,11.0,,,,ADL,unparsed,Night,Full Shirt & Jeans,Reading a newspaper while sitting on the bed and placing a pillow on the lap,Reading[6.5 to 11]; Sitting[0 to 11]
gmdcsa24_0642f50a3c83bbc9,Subject 2,Fall,05.mp4,Subject 2/Fall/05.mp4,4.529,4.0,0.8,4.0,Falling (SW),SW,official_explicit_interval,Day,T-Shirt & Pants,Left side fall (face hidden by hand),Falling (SW)[0.8 to 4]; Standing[0 to 0.7]
gmdcsa24_084c8010f5af4992,Subject 4,ADL,17.mp4,Subject 4/ADL/17.mp4,6.225367,6.0,,,,ADL,unparsed,Day (Lights On),Full Shirt & Pant,Picking up the book from the floor and putting it on the bed,Walking[0 to 6]
gmdcsa24_0b126b31148aacb9,Subject 3,ADL,22.mp4,Subject 3/ADL/22.mp4,9.4896,9.0,,,,ADL,unparsed,Day,Kurta & Trousers,Writing while sitting on the bed,Sitting[0 to 9]; Writing[0 to 9]
gmdcsa24_0c0e626c81621443,Subject 4,Fall,09.mp4,Subject 4/Fall/09.mp4,6.065733,6.0,2.3,6.0,Falling (BW),BW,repaired_missing_to_separator,Day (Lights On),Full Shirt & Pant,Falling backward on the bed from sitting on the bed,Falling (BW)[2.3 6]; Sitting[0 to 2]
gmdcsa24_0ebf059c3c4f408b,Subject 4,ADL,20.mp4,Subject 4/ADL/20.mp4,17.5214,17.0,,,,ADL,unparsed,Day (Lights On),Full Shirt & Pant,Eating biscuits then picking up the water bottle from the floor and drinking the water from it after sitting on the bed; keeping the bottle on the floor,Drinking[4.6 to 10.4]; Eating[16.2 to 17]; Sitting[2.8 to 17]; Standing[0.7 to 2.6]
gmdcsa24_120c9fa62a1dcf39,Subject 2,ADL,10.mp4,Subject 2/ADL/10.mp4,7.569,7.0,,,,ADL,unparsed,Day,Full Shirt & Paint,Standing up from the ground and closing the curtain,Standing[0.1 to 2.1]; Walking[2.1 to 5]
gmdcsa24_145f29516fa6c06e,Subject 3,ADL,10.mp4,Subject 3/ADL/10.mp4,12.433567,12.0,,,,ADL,unparsed,Day,Full shirt & Trousers,Opening the window curtain and the window,Standing[0 to 12]
gmdcsa24_16ac74ad3be67e66,Subject 1,ADL,10.mp4,Subject 1/ADL/10.mp4,3.921233,3.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,Reading book while walking in the room,Reading[0 to 2.5]; Walking[0 to 3]
gmdcsa24_17c8df7c792a8b48,Subject 3,ADL,01.mp4,Subject 3/ADL/01.mp4,8.7535,8.0,,,,ADL,unparsed,Day,Full T-shirt & Trousers,Writing something in the notebook while sitting on the bed,Sitting[0 to 8]; Writing[0 to 8]
gmdcsa24_1953d8a5305e7d8d,Subject 3,ADL,06.mp4,Subject 3/ADL/06.mp4,8.9454,8.0,,,,ADL,unparsed,Day,Full T-shirt & Trousers,Exercising then sitting down on the floor,Exercising[0 to 5.1]; Sitting[5.1 to 8]
gmdcsa24_1aad4e2ee93b5498,Subject 1,Fall,05.mp4,Subject 1/Fall/05.mp4,5.857633,5.0,1.8,5.0,Falling (SW),SW,official_explicit_interval,Day (Light On),Full T-shirt & Trousers,Walking to falling. Right side fall,Falling (SW)[1.8 to 5]:; Walking[0 to 1.8]
gmdcsa24_1ac3eb88b6993bb5,Subject 3,ADL,12.mp4,Subject 3/ADL/12.mp4,10.673333,10.0,,,,ADL,unparsed,Night,Full T-shirt 2 & Trousers,Changing pages of a book while sitting on the bed; standing,Reading; Sitting[0.8 to 8.1]; Standing[8.1 to 9.2]; Walking[9.2 to 10]
gmdcsa24_1d98ea500dd2d74e,Subject 2,Fall,13.mp4,Subject 2/Fall/13.mp4,8.912,8.0,2.5,8.0,Falling (BW),BW,official_explicit_interval,Night,Full Shirt & Jeans,Falling backward (side view),Falling (BW)[2.5 to 8]; Standing[0 to 2.5]
gmdcsa24_1df8fb1ff892699b,Subject 2,ADL,09.mp4,Subject 2/ADL/09.mp4,10.961,10.0,,,,ADL,unparsed,Day,Full Shirt & Paint,Standing up from a sitting position on the bed and then sitting on the ground,Sitting[0 to 0.5; 3.7 to 10]; Standing[0.5 to 1.3]; Walking[0.5 to 3.1]
gmdcsa24_20895c4a7ce5ff07,Subject 4,ADL,16.mp4,Subject 4/ADL/16.mp4,7.137567,7.0,,,,ADL,unparsed,Day (Lights On),Full Shirt & Pant,Sitting on the bed; removing the goggles; then sleeping,Sitting[0.5 to 2.8]; Sleeping[2.9 to 7]
gmdcsa24_20c40c92d64000ee,Subject 4,Fall,14.mp4,Subject 4/Fall/14.mp4,5.249567,5.0,0.8,5.0,Falling (SW),SW,official_explicit_interval,Day (Lights On),T-Shirt & Pant,Falling (RS) on the bed from sitting on the bed then falling (LS) to the floor,Falling (SW)[0.8 to 5]; Sitting[0 to 0.8]
gmdcsa24_2354ba6441e0fc21,Subject 1,Fall,12.mp4,Subject 1/Fall/12.mp4,6.8334,6.0,1.9,6.0,Falling (BW),BW,official_explicit_interval,Day (Light On),T-shirt & Trousers,Standing position to falling. Backward Fall,Falling (BW)[1.9 to 6]; Standing[0 to 1.8]
gmdcsa24_23a5d10a01869884,Subject 2,Fall,24.mp4,Subject 2/Fall/24.mp4,7.1373,7.0,3.3,6.4,Falling (SW),SW,official_explicit_interval,Day,T-Shirt & Pants 2,Standing from the bed and then falling sideways on the ground,Falling (SW)[3.3 to 6.4]; Sitting[0 to 1.7]; Standing[2 to 3.2]
gmdcsa24_24559694cceadbcf,Subject 2,ADL,12.mp4,Subject 2/ADL/12.mp4,7.601533,7.0,,,,ADL,unparsed,Day,T-shirt and Pant,Going to bed and sleeping (belly facing downwards),Sleeping[3 to 7]; Standing[0 to 0.1]
gmdcsa24_267abab9b0ca7f4e,Subject 3,Fall,03.mp4,Subject 3/Fall/03.mp4,5.601633,5.0,1.5,5.0,Falling (BW),BW,official_explicit_interval,Day,Full T-shirt & Trouser,Falling backward on the floor,Falling (BW)[1.5 to 5]; Standing[0 to 1.5]
gmdcsa24_28c03494de00d7ae,Subject 3,Fall,16.mp4,Subject 3/Fall/16.mp4,6.081,7.0,1.8,7.0,Falling (SW),SW,official_explicit_interval,Night,Full T-shirt (different) & Trouser,Walking and then falling left side on the floor,Falling (SW)[1.8 to 7]; Walking[0 to 1.7]
gmdcsa24_295489f450694ee8,Subject 3,Fall,13.mp4,Subject 3/Fall/13.mp4,4.049,4.0,1.4,4.0,Falling (BW),BW,official_explicit_interval,Day,Full T-shirt & Trouser,Writing something in a notebook while sitting position on the floor; then falling backward,Falling (BW)[1.4 to 4]; Sitting[0 to 1.4]; Writing[0 to 1.3]
gmdcsa24_29dc2c60ff92bbe3,Subject 2,Fall,08.mp4,Subject 2/Fall/08.mp4,6.065,6.0,3.2,6.0,Falling (BW),BW,official_explicit_interval,Day,Full Shirt & Pants,Reading a newspaper in the sitting position on the ground then falling backward,Falling (BW)[3.2 to 6]; Reading[0 to 2.1]; Sitting[0 to 3]
gmdcsa24_2ac92f95aff7b35d,Subject 4,Fall,08.mp4,Subject 4/Fall/08.mp4,6.257533,6.0,2.3,6.0,Falling (BW),BW,official_explicit_interval,Day (Lights Off),Full Shirt & Pant,Falling backward on the bed from sitting on the bed,Falling (BW)[2.3 to 6]; Sitting[0 to 2.2]
gmdcsa24_2b963e9a1be9d1b1,Subject 1,ADL,05.mp4,Subject 1/ADL/05.mp4,10.5456,10.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,Coming to the bed and reading book in the sitting position. Front view of the subject. One leg folded,Reading[6 to 10]; Sitting[3 to 10]; Walking[1 to 3]
gmdcsa24_2c50d5e3b8dc82ba,Subject 2,Fall,20.mp4,Subject 2/Fall/20.mp4,11.457633,11.0,7.9,11.0,Falling (FW),FW,official_explicit_interval,Day,T-Shirt & Pants 2,Eating in standing position then falling forward,Falling (FW)[7.9 to 11]; Eating[1.6 to 3.2]; Standing[0 to 7.7]
gmdcsa24_2cb5a9c8e383a5b8,Subject 3,Fall,19.mp4,Subject 3/Fall/19.mp4,5.713667,5.0,2.0,5.0,Falling (BW),BW,official_explicit_interval,Night,Full T-shirt (different) & Trouser,Falling on the floor from the standing position,Falling (BW)[2 to 5]; Standing[0 to 1.9]
gmdcsa24_2cf0d421cfd8e342,Subject 1,ADL,15.mp4,Subject 1/ADL/15.mp4,7.169233,7.0,,,,ADL,unparsed,Day (Light On),T-shirt & Trousers,Walking to picking a mobile phone from the ground and then sitting on the chair,Sitting[4 to 7]; Walking[0 to 1.5]
gmdcsa24_321851a458c35adf,Subject 4,ADL,04.mp4,Subject 4/ADL/04.mp4,13.009467,13.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Using a laptop while sitting on the bed,Sitting[0 to 13]
gmdcsa24_35a994e3139f1be2,Subject 2,ADL,16.mp4,Subject 2/ADL/16.mp4,11.537467,11.0,,,,ADL,unparsed,Night,Full Shirt & Jeans,Reading a newspaper; throwing the newspaper; and sleeping,Reading[0 to 5.8]; Sleeping[9 to 11]
gmdcsa24_387dbf91bc617efd,Subject 3,ADL,16.mp4,Subject 3/ADL/16.mp4,10.257267,10.0,,,,ADL,unparsed,Day,Kurta & Trousers,Eating while sitting on the ground,Eating[0 to 10]; Sitting[0 to 10]
gmdcsa24_397ae0392f5e6237,Subject 3,ADL,19.mp4,Subject 3/ADL/19.mp4,6.5133,6.0,,,,ADL,unparsed,Night,Full T-shirt (different) & Trousers,Picking the pen from the floor and putting it on the bed,Walking[1.8 to 5]
gmdcsa24_39c2bcd61f24ebf3,Subject 3,Fall,08.mp4,Subject 3/Fall/08.mp4,6.3373,6.0,0.0,6.0,Falling (SW),SW,official_explicit_interval,Day,Full T-shirt & Trouser,Falling on the right side onto the floor from a standing position,Falling (SW)[0 to 6]
gmdcsa24_3a5ac3e006b4b184,Subject 4,Fall,11.mp4,Subject 4/Fall/11.mp4,4.561467,4.0,1.2,4.0,Falling (FW),FW,official_explicit_interval,Day (Lights On),Full Shirt & Pant,Walking then falling (FW: only waist to toe is visible after falling),Falling (FW)[1.2 to 4]; Walking[0 to 1]
gmdcsa24_3b8635e008c5ba27,Subject 4,ADL,06.mp4,Subject 4/ADL/06.mp4,6.5776,6.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Doing exercise (push-up); view 2,Exercising[1.4 to 6]; Walking[0 to 1]
gmdcsa24_3baad9ad4ebfaa97,Subject 1,Fall,02.mp4,Subject 1/Fall/02.mp4,6.3695,6.0,1.9,6.0,Falling (SW),SW,official_explicit_interval,Day (Light On),Full T-shirt & Trousers,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible,Falling (SW)[1.9 to 6]; Sitting[0 to 1.9]
gmdcsa24_3cc5f533745761a6,Subject 1,ADL,14.mp4,Subject 1/ADL/14.mp4,5.857667,5.0,,,,ADL,unparsed,Day (Light On),T-shirt & Trousers,Sitting on the chair (side view) to walking,Sitting[0 to 1]; Standing[4.7 to 5]; Walking[1.6 to 4.7]
gmdcsa24_3db7463e737831e8,Subject 3,Fall,21.mp4,Subject 3/Fall/21.mp4,9.169633,9.0,5.4,9.0,Falling (SW),SW,official_explicit_interval,Day,Kurta & Trouser,Drinking in standing position then falling sideways,Falling (SW)[5.4 to 9]; Drinking[0 to 1.4]; Standing[0 to 4.4]
gmdcsa24_3f989365e56fe66b,Subject 2,ADL,02.mp4,Subject 2/ADL/02.mp4,11.7934,11.0,,,,ADL,unparsed,Day,Full Shirt & Pant,Picking up a water bottle from the ground and drinking while sitting on the bed,Drinking[10.5 to 11]; Sitting [0 to 11];
gmdcsa24_406dd142be0bf973,Subject 1,ADL,13.mp4,Subject 1/ADL/13.mp4,6.3056,6.0,,,,ADL,unparsed,Day (Light On),T-shirt & Trousers,Walking to sitting on the chair (side view),Sitting[3 to 6]; Walking[0 to 2.5]
gmdcsa24_410b01a11f95bb0e,Subject 3,ADL,20.mp4,Subject 3/ADL/20.mp4,9.3933,9.0,,,,ADL,unparsed,Night,Full T-shirt (different) & Trousers,Talking on the phone while sitting on the bed,Sitting[0 to 9]
gmdcsa24_431d87a5c6d16032,Subject 3,ADL,17.mp4,Subject 3/ADL/17.mp4,12.129433,12.0,,,,ADL,unparsed,Night,Full T-shirt (different) & Trousers,Drinking water from a water bottle while sitting on the bed Putting the water bottle on the bed,Drinking[1.8 to 4.1]; Sitting[0 to 12]
gmdcsa24_43870e1530924496,Subject 3,ADL,18.mp4,Subject 3/ADL/18.mp4,11.121467,11.0,,,,ADL,unparsed,Night,Full T-shirt (different) & Trousers,Walking; sitting on the bed and eating biscuits,Eating[5.1 to 5.8]; Sitting[0.6 to 11]; Walking[0 to 0.5]
gmdcsa24_4a1867bbff15a808,Subject 4,Fall,15.mp4,Subject 4/Fall/15.mp4,4.849467,4.0,1.7,4.849467,Falling (FW),FW,repaired_complement_after_last_nonfall_interval,Day (Lights On),T-Shirt & Pant,Falling (FW) on the floor from sitting on the bed,Falling (FW); Sitting[0 to 1.7]
gmdcsa24_4b5f84f64edeae80,Subject 4,ADL,03.mp4,Subject 4/ADL/03.mp4,8.9457,8.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Reading a book while sitting on the bed,Reading[3.8 to 8]; Sitting[ 0 to 8]
gmdcsa24_4b94ca9f0c8f3c80,Subject 3,Fall,15.mp4,Subject 3/Fall/15.mp4,5.649633,5.0,1.9,5.0,Falling (BW),BW,official_explicit_interval,Night,Full T-shirt (different) & Trouser,Trying to drink water from the water bottle and then falling on the floor,Falling (BW)[1.9 to 5]; Standing[0 to 1.8]
gmdcsa24_4e19ffd1a9e975c2,Subject 2,Fall,16.mp4,Subject 2/Fall/16.mp4,4.017467,4.0,0.8,4.0,Falling (FW),FW,official_explicit_interval,Day,T-Shirt & Pants 2,Walking then falling forward,Falling (FW)[0.8 to 4]; Walking[0 to 0.6]
